time,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3
00:00:00,2.58,0.136,241.97,10.6,0,0,0
00:01:00,2.552,0.1,241.75,10.4,0,0,0
00:02:00,2.55,0.1,241.64,10.4,0,0,0
00:03:00,2.55,0.1,241.71,10.4,0,0,0
00:04:00,2.554,0.1,241.98,10.4,0,0,0
00:05:00,2.55,0.1,241.83,10.4,0,0,0
00:06:00,2.534,0.096,241.07,10.4,0,0,0
00:07:00,2.484,0,241.29,10.2,0,0,0
00:08:00,2.468,0,241.23,10.2,0,0,0
00:09:00,2.486,0,242.18,10.2,0,0,0
00:10:00,2.492,0,242.46,10.2,0,0,0
00:11:00,2.5,0,242.88,10.2,0,0,0
00:12:00,2.494,0,242.57,10.2,0,0,0
00:13:00,2.492,0,242.41,10.2,0,0,0
00:14:00,2.48,0,241.81,10.2,0,0,0
00:15:00,2.478,0,241.73,10.2,0,0,0
00:16:00,2.47,0,241.29,10.2,0,0,0
00:17:00,2.466,0,241.11,10.2,0,0,0
00:18:00,2.456,0,240.59,10.2,0,0,0
00:19:00,2.46,0,240.83,10.2,0,0,0
00:20:00,2.544,0.092,240.9,10.6,0,0,0
00:21:00,2.55,0.116,241.15,10.4,0,1,0
00:22:00,2.554,0.118,241.55,10.6,0,1,0
00:23:00,2.65,0.218,241.67,11,0,2,0
00:24:00,2.682,0.258,242.45,11,0,1,0
00:25:00,2.66,0.252,241.6,11,0,1,0
00:26:00,2.65,0.25,241.14,11,0,2,0
00:27:00,2.654,0.25,241.38,11,0,1,0
00:28:00,2.642,0.248,240.9,11,0,2,0
00:29:00,2.644,0.25,241.15,11,0,1,0
00:30:00,2.648,0.252,241.32,11,0,1,0
00:31:00,2.646,0.252,241.35,11,0,2,0
00:32:00,2.644,0.252,241.38,11,0,1,0
00:33:00,2.656,0.256,242.03,11,0,1,0
00:34:00,2.65,0.254,241.86,11,0,2,0
00:35:00,2.642,0.252,241.47,11,0,1,0
00:36:00,2.63,0.248,240.96,10.8,0,1,0
00:37:00,2.606,0.214,240.94,10.8,0,2,0
00:38:00,2.556,0.132,240.31,10.6,0,1,0
00:39:00,2.602,0.216,240.46,10.8,0,1,0
00:40:00,2.602,0.216,240.5,10.8,0,1,0
00:41:00,2.594,0.214,240.08,10.8,0,2,0
00:42:00,2.6,0.216,240.5,10.8,0,1,0
00:43:00,2.602,0.216,240.65,10.8,0,1,0
00:44:00,2.6,0.216,240.68,10.8,0,1,0
00:45:00,2.598,0.216,240.69,10.8,0,1,0
00:46:00,2.59,0.214,240.3,10.8,0,2,0
00:47:00,2.554,0.148,240.85,10.6,0,1,0
00:48:00,2.484,0,240.98,10.2,0,0,0
00:49:00,2.472,0,241.4,10.2,0,0,0
00:50:00,2.486,0,242.11,10.2,0,0,0
00:51:00,2.486,0,242.12,10.2,0,0,0
00:52:00,2.482,0,241.96,10.2,0,0,0
00:53:00,2.484,0,241.98,10.2,0,0,0
00:54:00,2.48,0,241.84,10.2,0,0,0
00:55:00,2.458,0,240.63,10.2,0,0,0
00:56:00,2.46,0,240.81,10.2,0,0,0
00:57:00,2.462,0,240.82,10.2,0,0,0
00:58:00,2.472,0,241.39,10.2,0,0,0
00:59:00,2.466,0,241.09,10.2,0,0,0
01:00:00,2.466,0,241.09,10.2,0,0,0
01:01:00,2.59,0.118,241.79,10.6,0,0,0
01:02:00,2.59,0.132,242.04,10.6,0,0,0
01:03:00,2.576,0.128,241.43,10.6,0,0,0
01:04:00,2.566,0.128,241.05,10.6,0,0,0
01:05:00,2.564,0.126,240.98,10.6,0,0,0
01:06:00,2.56,0.126,240.91,10.6,0,0,0
01:07:00,2.552,0.124,240.58,10.6,0,0,0
01:08:00,2.564,0.128,241.19,10.6,0,0,0
01:09:00,2.558,0.126,240.99,10.6,0,0,0
01:10:00,2.56,0.126,241.12,10.6,0,0,0
01:11:00,2.576,0.132,241.95,10.6,0,0,0
01:12:00,2.57,0.13,241.73,10.6,0,0,0
01:13:00,2.56,0.128,241.24,10.6,0,0,0
01:14:00,2.566,0.128,241.49,10.6,0,0,0
01:15:00,2.502,0,242,10.2,0,0,0
01:16:00,2.482,0,241.94,10.2,0,0,0
01:17:00,2.478,0,241.79,10.2,0,0,0
01:18:00,2.482,0,242,10.2,0,0,0
01:19:00,2.58,0.102,242.37,10.6,0,0,0
01:20:00,2.564,0.102,242.3,10.6,0,0,0
01:21:00,2.58,0.106,243.15,10.6,0,0,0
01:22:00,2.572,0.104,242.8,10.6,0,0,0
01:23:00,2.566,0.102,242.53,10.6,0,0,0
01:24:00,2.57,0.104,242.8,10.6,0,0,0
01:25:00,2.57,0.104,242.82,10.6,0,0,0
01:26:00,2.566,0.104,242.73,10.6,0,0,0
01:27:00,2.504,0,241.47,10.2,0,0,0
01:28:00,2.474,0,241.52,10.2,0,0,0
01:29:00,2.456,0,240.56,10.2,0,0,0
01:30:00,2.448,0,240.11,10.2,0,0,0
01:31:00,2.446,0,240.03,10.2,0,0,0
01:32:00,2.452,0,240.3,10.2,0,0,0
01:33:00,2.452,0,240.37,10.2,0,0,0
01:34:00,2.452,0,240.34,10.2,0,0,0
01:35:00,2.444,0,239.95,10.2,0,0,0
01:36:00,2.444,0,239.91,10.2,0,0,0
01:37:00,2.462,0,240.89,10.2,0,0,0
01:38:00,2.51,0.052,240.01,10.4,0,0,0
01:39:00,2.546,0.12,239.63,10.6,0,0,0
01:40:00,2.548,0.122,240,10.6,0,0,0
01:41:00,2.548,0.122,240.04,10.6,0,0,0
01:42:00,2.552,0.122,240.36,10.6,0,0,0
01:43:00,2.544,0.12,239.96,10.6,0,0,0
01:44:00,2.538,0.12,239.83,10.6,0,0,0
01:45:00,2.548,0.122,240.42,10.6,0,0,0
01:46:00,2.554,0.124,240.71,10.6,0,0,0
01:47:00,2.552,0.124,240.74,10.6,0,0,0
01:48:00,2.55,0.124,240.66,10.6,0,0,0
01:49:00,2.548,0.124,240.6,10.6,0,0,0
01:50:00,2.552,0.124,240.8,10.6,0,0,0
01:51:00,2.548,0.122,240.56,10.6,0,0,0
01:52:00,2.502,0.048,240.89,10.4,0,0,0
01:53:00,2.466,0,241.03,10.2,0,0,0
01:54:00,2.48,0,241.77,10.2,0,0,0
01:55:00,2.474,0,241.46,10.2,0,0,0
01:56:00,2.47,0,241.28,10.2,0,0,0
01:57:00,2.464,0,240.93,10.2,0,0,0
01:58:00,2.45,0,240.24,10.2,0,0,0
01:59:00,2.496,0,239.61,10.4,0,0,0
02:00:00,2.504,0.088,239.26,10.4,0,0,0
02:01:00,2.54,0.096,241.07,10.4,0,0,0
02:02:00,2.568,0.102,242.48,10.6,0,0,0
02:03:00,2.566,0.102,242.42,10.6,0,0,0
02:04:00,2.574,0.106,242.95,10.6,0,0,0
02:05:00,2.582,0.108,243.38,10.6,0,0,0
02:06:00,2.576,0.106,243.17,10.6,0,0,0
02:07:00,2.556,0.082,242.89,10.4,0,0,0
02:08:00,2.502,0,242.94,10.2,0,0,0
02:09:00,2.514,0,243.57,10.2,0,0,0
02:10:00,2.508,0,243.28,10.2,0,0,0
02:11:00,2.52,0,243.91,10.2,0,0,0
02:12:00,2.518,0,243.76,10.2,0,0,0
02:13:00,2.518,0,243.81,10.2,0,0,0
02:14:00,2.514,0,243.57,10.2,0,0,0
02:15:00,2.54,0,243.32,10.4,0,0,0
02:16:00,2.608,0.134,242.76,10.6,0,0,0
02:17:00,2.622,0.14,243.66,10.6,0,0,0
02:18:00,2.618,0.138,243.64,10.6,0,0,0
02:19:00,2.618,0.138,243.72,10.6,0,0,0
02:20:00,2.624,0.142,244.15,10.6,0,0,0
02:21:00,2.632,0.144,244.6,10.6,0,0,0
02:22:00,2.63,0.144,244.5,10.6,0,0,0
02:23:00,2.622,0.142,244.22,10.6,0,0,0
02:24:00,2.614,0.14,243.88,10.6,0,0,0
02:25:00,2.596,0.136,242.97,10.6,0,0,0
02:26:00,2.598,0.136,243.07,10.6,0,0,0
02:27:00,2.584,0.132,242.45,10.6,0,0,0
02:28:00,2.592,0.134,242.84,10.6,0,0,0
